Start,End,Open,High,Low,Close,Volume,Market Cap
2024-11-20,2024-11-21,16.5494,16.5494,15.3663,15.6737,27166539.20209059,109951625.27526133
2024-11-19,2024-11-20,16.6903,17.5526,16.26,16.6234,19982356.219512194,113626078.44599304
2024-11-18,2024-11-19,15.9065,16.7556,15.804,16.7199,15393185.547038328,111358885.6097561
2024-11-17,2024-11-18,16.2728,16.7967,15.4965,15.8727,18144256.034843206,110911120.42160279
2024-11-16,2024-11-17,15.3719,16.352,15.3599,16.2723,13188444.2543554,108392457.33449477
2024-11-15,2024-11-16,14.6021,15.4126,14.23,15.3585,14625040.773519164,101406601.59581882
2024-11-14,2024-11-15,14.8279,15.5788,14.3544,14.6379,20972464.951219514,102337191.45993032
2024-11-13,2024-11-14,16.119,16.181,14.2922,14.8297,25415932.456445992,103789234.56097561
2024-11-12,2024-11-13,16.9941,17.5393,15.3657,16.1581,32288984.721254356,111987392.2891986
2024-11-11,2024-11-12,16.4341,17.2468,15.9743,17.1695,26139460.88850174,113984957.2369338
2024-11-10,2024-11-11,16.2743,17.3302,15.7227,16.4049,16092925.327526132,113184662.75958188
2024-11-09,2024-11-10,15.6936,16.387,15.5638,16.3383,9464121.763066202,109517824.29616725
2024-11-08,2024-11-09,15.6921,15.7786,15.1968,15.6528,7785206.540069686,105802860.37979095
2024-11-07,2024-11-08,15.761,16.0627,15.2168,15.6279,12253783.986062719,106899724.7456446
2024-11-06,2024-11-07,14.1602,15.8493,14.1602,15.7348,12915823.543554006,102942577.728223
2024-11-05,2024-11-06,13.4582,14.3323,13.4582,14.148,9579042.334494773,94996543.12195122
2024-11-04,2024-11-05,13.6315,13.96,13.1222,13.409,8216508.895470384,93464117.08710802
2024-11-03,2024-11-04,13.9903,13.9993,13.0967,13.6553,7426761.407665505,93243927.42857143
2024-11-02,2024-11-03,14.1352,14.28,13.7127,13.93,6165806.456445993,95767315.19163764
2024-11-01,2024-11-02,14.1781,14.6515,13.7339,14.114,7256348.857142857,96458745.44599304
2024-10-31,2024-11-01,15.0714,15.0873,14.1121,14.205,7378332.236933798,100025899.76655053
2024-10-30,2024-10-31,15.3013,15.414,14.9453,15.0754,9567281.299651569,103648758.3902439
2024-10-29,2024-10-30,14.3485,15.2683,14.3425,15.2679,7812358.494773519,100941031.49825785
2024-10-28,2024-10-29,14.2678,14.4897,13.7239,14.3479,7439786.616724739,95899502.36933798
2024-10-27,2024-10-28,14.2986,14.6023,14.0995,14.2738,11269131.463414634,97718353.38675958
2024-10-26,2024-10-27,13.5496,14.7513,13.4579,14.2994,17862769.79442509,96888186.32404181
2024-10-25,2024-10-26,14.9825,14.9946,13.3717,13.5293,111391734.19163764,100330208.28222996
2024-10-24,2024-10-25,14.6125,15.1281,14.4401,14.9526,10520036.898954704,101550029.71777004
2024-10-23,2024-10-24,15.4821,15.4821,14.4319,14.6571,10447692.038327526,101724693.24738675
2024-10-22,2024-10-23,15.4603,15.5984,15.0936,15.451,11024133.167247387,105072015.28571428
2024-10-21,2024-10-22,16.2409,16.4592,15.3734,15.4856,18067452.82229965,108334594.2891986
2024-10-20,2024-10-21,15.023,16.4021,14.8273,16.1993,9002928.052264808,106231248.17770036
2024-10-19,2024-10-20,14.9916,15.265,14.7806,15.021,6919165.445993031,102625381.91637631
